head	relation	tail
https://w3id.org/hi-ontology#ArchivalCurationTeam	https://w3id.org/hi-ontology#hasMember	https://w3id.org/hi-ontology#CulturalHeritageSteward
https://w3id.org/hi-ontology#Negotiation	https://w3id.org/hi-ontology#allowsTask	https://w3id.org/hi-ontology#DataGovernanceNegotiationTask
https://w3id.org/hi-ontology#AlphaFoldSystem	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	https://w3id.org/hi-ontology#ArtificialAgent
https://w3id.org/hi-ontology#GuidedRobotInteractionExecution	https://w3id.org/hi-ontology#hasInteractionEpisode	https://w3id.org/hi-ontology#GuidedLearningInteraction
https://w3id.org/hi-ontology#Task	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/2002/07/owl#Class
https://w3id.org/hi-ontology#hasContextConcept	http://www.w3.org/2000/01/rdf-schema#domain	https://w3id.org/hi-ontology#Context
https://w3id.org/hi-ontology#FaceMatchingStudyContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	https://w3id.org/hi-ontology#Context
https://w3id.org/hi-ontology#KnowledgeDistillationMethod	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	https://w3id.org/hi-ontology#Method
https://w3id.org/hi-ontology#ExplainableBoostingMethod	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	https://w3id.org/hi-ontology#Method
https://w3id.org/hi-ontology#GuidedRobotInteractionExecution	https://w3id.org/hi-ontology#realizesTask	https://w3id.org/hi-ontology#GuidedRobotInteractionTask
https://w3id.org/hi-ontology#IncreasingConfidenceNoNotifyExperiment	https://w3id.org/hi-ontology#hasMetricTested	https://w3id.org/hi-ontology#DecisionQualityMetric
https://w3id.org/hi-ontology#DecisionEvent_LifestyleRecommendation	https://w3id.org/hi-ontology#performedBy	https://w3id.org/hi-ontology#AI_SocialHealthCoach
https://w3id.org/hi-ontology#AI_TrustGameTeammate	https://w3id.org/hi-ontology#hasCapability	https://w3id.org/hi-ontology#Collaborativeness
https://w3id.org/hi-ontology#HILLInspectionModel_Instance	https://w3id.org/hi-ontology#hasInputData	https://w3id.org/hi-ontology#PAMAP2SensorData
https://w3id.org/hi-ontology#Therapist	https://w3id.org/hi-ontology#hasCapability	https://w3id.org/hi-ontology#Responsibility
